Name,D,p
Precipitacao,0.402109912,0
PressaoAtm,0.969332679,0
PressaoAtmMax,0.969087341,0
PressaoAtmMin,0.906480118,0
RadiacaoGlobal,0.769123062,0
TemperaturaBulboSeco,0.969332679,0
TemperaturaPontoOrvalho,0.969319333,0
TemperaturaMax,0.969087341,0
TemperaturaMin,0.905987087,0
TemperaturaMaxOrvalho,0.969087341,0
TemperaturaMinOrvalho,0.894048059,0
UmidadeRelMax,0.969087341,0
UmidadeRelMin,0.9059892,0
UmidadeRel,0.969332679,0
VentoDirecao,0.967828976,0
VentoRajada,0.966192155,0
VentoVelocidade,0.930390202,0
Acidentes,0.999477652,0
